"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CHCHD10",1.0518725865958e-216,1.70761552699756,1,0.755,1.61178436444074e-212,"3","CHCHD10"
"POPDC3",3.04981842466821e-216,0.673384439886903,0.562,0.054,4.67323677211911e-212,"3","POPDC3"
"NEXN",4.4221453327599e-216,1.73022030236276,0.975,0.458,6.776053293388e-212,"3","NEXN"
"ERBB4",7.60432288274773e-216,0.667960938609779,0.539,0.051,1.16521039532343e-211,"3","ERBB4"
"PLCXD3",1.42071421493785e-215,0.697550720010961,0.528,0.049,2.17696039154927e-211,"3","PLCXD3"
"PPP1R1A",1.21783541478498e-214,0.82669443689825,0.639,0.08,1.86608920607502e-210,"3","PPP1R1A"
"COX7C",1.44226365930897e-214,1.18351011905798,1,0.989,2.20998060515913e-210,"3","COX7C"
"MT-CO2",6.4742943900151e-214,1.42122218301223,1,0.993,9.92056129382013e-210,"3","MT-CO2"
"MYZAP",1.67975535802969e-212,0.844145822902916,0.654,0.094,2.5738891351089e-208,"3","MYZAP"
"SRL",3.2421445197557e-212,0.633011901095249,0.47,0.034,4.96793804762166e-208,"3","SRL"
"FAM84B",6.13413617938932e-212,0.852332464421897,0.646,0.096,9.39933686767826e-208,"3","FAM84B"
"TACC2",8.72356457459706e-212,0.79188845711886,0.61,0.077,1.33671179976551e-207,"3","TACC2"
"GJA1",1.17988767477918e-210,1.17589139324157,0.66,0.104,1.80794188406414e-206,"3","GJA1"
"CRYAB",3.8033816658818e-210,2.03386720776866,0.994,0.555,5.82792172663068e-206,"3","CRYAB"
"RCAN2",4.2348198373569e-210,0.560993640892619,0.468,0.033,6.48901443678197e-206,"3","RCAN2"
"HSPB1",3.04970546559521e-209,1.6671680215075,1,0.929,4.67306368493154e-205,"3","HSPB1"
"MT-ND2",5.34231493113862e-209,1.49787622873143,1,0.977,8.1860291689837e-205,"3","MT-ND2"
"MT-ATP6",1.63002319207117e-208,1.3834855481804,1,0.983,2.49768453721066e-204,"3","MT-ATP6"
"MT-CO1",2.98982295625628e-208,1.44068603544078,1,0.993,4.58130571587149e-204,"3","MT-CO1"
"TMOD1",2.2449374045547e-206,0.847223416610068,0.874,0.178,3.43991758499917e-202,"3","TMOD1"
"FAM189A2",5.36313580883661e-206,0.527982681293843,0.436,0.028,8.21793299988034e-202,"3","FAM189A2"
"MT-CO3",8.57843622382787e-206,1.29804943749351,1,0.994,1.31447378257714e-201,"3","MT-CO3"
"MYL9",2.06905078493014e-205,2.01069962942947,1,0.756,3.17040651774846e-201,"3","MYL9"
"PDK1",2.16628349632684e-205,0.896992122199191,0.642,0.096,3.31939620142162e-201,"3","PDK1"
"MT-ND3",2.82063919765859e-203,1.53496197160092,0.998,0.973,4.32206544257226e-199,"3","MT-ND3"
"UQCRH",5.88503271414727e-203,1.20467304692082,1,0.973,9.01763562788786e-199,"3","UQCRH"
"ATP5J",9.6075301750364e-202,1.30905591229777,1,0.947,1.47216184872083e-197,"3","ATP5J"
"STK39",5.55511642906784e-201,0.722827183017627,0.579,0.076,8.51210490426065e-197,"3","STK39"
"COX7B",2.15468858256208e-200,1.51177169755261,1,0.939,3.30162931505987e-196,"3","COX7B"
"LPL",5.48566422282783e-200,0.534692314534651,0.409,0.024,8.40568328863908e-196,"3","LPL"
"ATP5G1",1.36999872882947e-199,1.65178771241685,0.994,0.781,2.09924905218539e-195,"3","ATP5G1"
"STRIP2",2.14280636787531e-199,0.525813768570038,0.417,0.027,3.28342219749534e-195,"3","STRIP2"
"NDUFS6",2.48154266008128e-198,1.31361795593759,0.996,0.887,3.80246781804254e-194,"3","NDUFS6"
"PERP",6.51259580737937e-198,0.890201753550703,0.755,0.141,9.97925055564741e-194,"3","PERP"
"NDUFA4",9.21687595839278e-198,1.13943563948696,1,0.976,1.41230190310453e-193,"3","NDUFA4"
"FILIP1",1.87878191907176e-197,1.55362300052172,0.977,0.459,2.87885753459366e-193,"3","FILIP1"
"COX8A",5.59222949343113e-197,1.34190504823694,0.998,0.942,8.56897325278452e-193,"3","COX8A"
"MT-CYB",7.31937155636353e-197,1.32309772708934,1,0.983,1.12154730358158e-192,"3","MT-CYB"
"A4GALT",7.65873469885646e-197,0.630373394670767,0.516,0.053,1.17354791790578e-192,"3","A4GALT"
"USP28",2.46974800807513e-196,0.815373275601497,0.675,0.117,3.78439487277352e-192,"3","USP28"
"ALPK3",2.01385916345183e-195,0.777258973199655,0.646,0.105,3.08583639615724e-191,"3","ALPK3"
