"","simulation","ARI","method"
"579","sim65",0.848872350051967,"kmeans"
"580","sim65",0.428828565023569,"hclust"
"581","sim65",0.360474907572768,"scCoGAPS"
"582","sim65",0.490141433295563,"DR.SC"
"583","sim65",0.750114448024661,"BayesSpace"
"584","sim65",0.462695268038493,"SpaGCN"
"585","sim65",0.814503293020767,"STAGATE"
"586","sim66",0.753663157639123,"scSpace"
"587","sim66",0.374442683949981,"louvain"
"588","sim66",0.298121520862412,"kmeans"
"589","sim66",0.0618431488979403,"hclust"
"590","sim66",0.0600750094318509,"scCoGAPS"
"591","sim66",0.147322792925574,"DR.SC"
"592","sim66",0.158347992905794,"BayesSpace"
"593","sim66",0.0743065355556768,"SpaGCN"
"594","sim66",0.350504376373422,"STAGATE"
"595","sim67",0.613058837333726,"scSpace"
"596","sim67",0.300612713493704,"louvain"
"597","sim67",0.278361548645589,"kmeans"
"598","sim67",0.214340401341813,"hclust"
"599","sim67",0.244526126117892,"scCoGAPS"
"600","sim67",0.263803759138448,"DR.SC"
"601","sim67",0.260036012686793,"BayesSpace"
"602","sim67",0.248372253784916,"SpaGCN"
"603","sim67",0.434138509625613,"STAGATE"
"604","sim68",0.672136760272397,"scSpace"
"605","sim68",0.489618679542133,"louvain"
"606","sim68",0.497853793180971,"kmeans"
"607","sim68",0.299162118158648,"hclust"
"608","sim68",0.460742334655947,"scCoGAPS"
"609","sim68",0.49321835628643,"DR.SC"
"610","sim68",0.39437358677951,"BayesSpace"
