"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","logp","group"
"FGF4",-0.225186658197392,5.66953290087402,-5.02655070260454,9.6270396270222e-07,4.9926981535724e-06,5.12544241263425,"FGF4",5.30166468954283,"no_sig"
"RPL23",0.542791283854342,7.85630691571132,5.01916561110428,9.96871048780117e-07,5.1477393726743e-06,5.09212535496446,"RPL23",5.2883834493113,"up"
"COX6B1",0.324169538506622,6.46270283039942,5.01838699113051,1.00054102354967e-06,5.1477393726743e-06,5.08861500958498,"COX6B1",5.2883834493113,"no_sig"
"MAPK3",0.207244946860179,5.72622867499555,5.01807969010836,1.00199306524074e-06,5.1477393726743e-06,5.08722968933626,"MAPK3",5.2883834493113,"no_sig"
"APH1B",-0.164693205359521,5.43439366335779,-5.01692889198691,1.00744890523095e-06,5.15964486043515e-06,5.08204247596603,"APH1B",5.28738018993504,"no_sig"
"TGFB3",-0.189792625071838,6.10336193163579,-5.00582188551774,1.06160672918796e-06,5.42012876641308e-06,5.03202738818338,"TGFB3",5.26599039577188,"no_sig"
"NDC80",-0.182011487025854,5.87211296605757,-5.00118064466986,1.08506319692733e-06,5.52273651934527e-06,5.01115445733239,"NDC80",5.25784567575586,"no_sig"
"OSM",-0.216806614103043,5.79363012118843,-4.99456981964342,1.11934211125851e-06,5.67962478675616e-06,4.98145093998938,"OSM",5.24568035415233,"no_sig"
"CD19",-0.232948598211949,5.66461205324111,-4.99302675731869,1.1274929535133e-06,5.70337974023345e-06,4.9745223072947,"CD19",5.24386771142427,"no_sig"
"KRT7",0.64243160803998,6.82322005921647,4.98302328049427,1.18174464696573e-06,5.95947300494375e-06,4.92964710927112,"KRT7",5.22479214313965,"up"
"ITGA9",-0.177412944928311,5.86242337238244,-4.97986200447372,1.19940852146076e-06,6.03005385101372e-06,4.91548098190951,"ITGA9",5.21967880940319,"no_sig"
"SPACA3",-0.230482766658725,5.57985665314619,-4.97675299796692,1.21702945701654e-06,6.09998910772925e-06,4.90155622071562,"SPACA3",5.21467094047404,"no_sig"
"COL5A1",0.564469983001691,6.04191569674449,4.97583116872789,1.22230209879814e-06,6.107795290043e-06,4.89742885070329,"COL5A1",5.21411552726306,"up"
"MRM2",-0.155713476703004,5.81203463132138,-4.97259784370222,1.24097128572993e-06,6.18229331436367e-06,4.88295698311651,"MRM2",5.20885039400133,"no_sig"
"MAP3K8",-0.185589481756404,5.81799486161782,-4.97086787842587,1.25107311718544e-06,6.21378913792405e-06,4.87521707048477,"MAP3K8",5.20664348841445,"no_sig"
"KLRB1",-0.22482796807008,5.51492431267512,-4.95848636629801,1.32573185266233e-06,6.55134773532483e-06,4.81988592366412,"KLRB1",5.18366934828219,"no_sig"
"PPP3CC",-0.127992808256253,5.8265602288276,-4.95828087922358,1.32700656682674e-06,6.55134773532483e-06,4.81896858148687,"PPP3CC",5.18366934828219,"no_sig"
"TNKS",-0.164437043278274,5.82212859799668,-4.95750378405998,1.33183791455494e-06,6.55551356745008e-06,4.81549972797789,"TNKS",5.18339327944715,"no_sig"
"RNLS",-0.205548359831085,5.856861306642,-4.95178733387175,1.36790501377163e-06,6.71294281385242e-06,4.78999585795773,"RNLS",5.17308705246265,"no_sig"
